post_name;poids;Région;Domaine;Appellation;Couleur;Cépage;Millésime;Garde;Contenance;Degré d'alcool;Température dégustation;Alliance mets
domaine-la-croix-belle-cotes-de-thongue-rouge-n7-2017;1.5 kg;Languedoc-Roussillon;La Croix Belle;Côtes de Thongue;Rouge;Cabernet Sauvignon, Carignan, Cinsault, Grenache, Merlot, Mourvèdre, Syrah;2018;8-10 ans;75cl;14%;16°C;Gibier, Gigot d'agneau, Magret de Canard
domaine-la-croix-belle-cotes-de-thongue-blanc-n7-2018;1.5 kg;Languedoc-Roussillon;La Croix Belle;Côtes de Thongue;Blanc;Carignan Blanc, Chardonnay, Grenache Blanc, Grenache Gris, Muscat à petits grains, Sauvignon Blanc;2019;3-5 ans;75cl;13,5%;12°C;Foie gras poêlé, Poissons, Viande Blanche
marcel-richaud-cairanne-rouge-les-estrambords-2011;1.5 kg;Rhône;Marcel Richaud;Cairanne;Rouge;Counoise, Carignan, Grenache, Mourvèdre, Syrah;2019;8-10 ans;75cl;15%;16°C;Agneau, Filet de boeuf, Grillades, Magret de Canard, Viande rouge
marcel-richaud-cairanne-rouge-2018;1.5 kg;Rhône;Marcel Richaud;Cairanne;Rouge;Carignan, Grenache, Mourvèdre, Syrah;2020;6-8 ans;75cl;15%;15°C;Charcuterie, Filet de boeuf, Grillades, Viande rouge
domaine-rouge-garance-cotes-du-rhone-blanc-de-garance-2018;1.5 kg;Rhône;Rouge Garance;Côtes-du-Rhône;Blanc;Grenache Blanc, Marsanne, Roussanne, Viognier;2020;3-5 ans;75cl;13,5%;12°C;Apéritif, Poissons, Viande Blanche
domaine-rouge-garance-cotes-du-rhone-feuille-de-garance-2019;1.5 kg;Rhône;Rouge Garance;Côtes-du-Rhône;Rouge;Cinsault, Grenache, Syrah;2020;3-5 ans;75cl;14,5%;15°C;Charcuterie, Grillades, Viande rouge
domaine-rouge-garance-cotes-du-rhone-villages-garances-2016;1.5 kg;Rhône;Rouge Garance;Côtes-du-Rhône Villages;Rouge;Carignan, Grenache;2020;4-7 ans;75cl;15%;16°C;Agneau, Grillades, Mouton, Pigeon
oratoire-saint-martin-cairanne-blanc-reserve-des-seigneurs-2018;1.5 kg;Rhône;Oratoire Saint Martin;Cairanne;Blanc;Clairette, Grenache Blanc, Roussanne;2019;3-5 ans;75cl;13,5%;12°C;Fruits de mer, Poisson grillé, Salade
chateau-turcaud-bordeaux-blanc-cuvee-majeure-2018;1.5 kg;Bordeaux;Château Turcaud;Bordeaux;Blanc;Sauvignon Blanc, Sémillon;2019;3-5 ans;75cl;13%;11°C;Apéritif, Fromages, Fruits de mer, Langoustes, Poissons, Viande Blanche
chateau-turcaud-bordeaux-rouge-2016;1.5 kg;Bordeaux;Château Turcaud;Bordeaux;Rouge;Cabernet Sauvignon, Merlot;2018;4-7 ans;75cl;13%;16°C;Viande Blanche, Viande rouge, Volaille
chateau-turcaud-bordeaux-rouge-cuvee-majeure-2018;1.5 kg;Bordeaux;Château Turcaud;Bordeaux;Rouge;Cabernet Sauvignon, Merlot;2019;4-7 ans;75cl;14,5%;17°C;Gibier, Magret de Canard, Viande rouge
chateau-turcaud-entre-deux-mers-2019;1.5 kg;Bordeaux;Château Turcaud;Entre-Deux-Mers;Blanc;Muscadelle, Sauvignon Blanc, Sémillon;2020;3 ans;75cl;13%;11°C;Apéritif, Crustacés, Fromages, Fruits de mer, Huîtres
champagne-larmandier-bernier-terre-de-vertus-premier-cru-2011;1.5 kg;Champagne;Larmandier-Bernier;Champagne;Blanc;Chardonnay;2014;;75cl;12,50%;10°C;Apéritif, Crustacés, Desserts, Poissons
chateau-du-couvent-pomerol-2017;1.5 kg;Bordeaux;Château du Couvent;Pomerol;Rouge;Cabernet Franc, Malbec, Merlot;2019;6-8 ans;75cl;13%;16°C;Canard, Gibier, Grillades, Viande rouge
chateau-cordet-margaux-2013;1.5 kg;Bordeaux;Château Cordet;Margaux;Rouge;Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot;2017;6-8 ans;75cl;13%;16°C;Canard, Gibier, Grillades, Viande rouge
chateau-lafont-menaut-pessac-leognan-rouge-2017;1.5 kg;Bordeaux;Château Lafont Menaut;Pessac-Leognan;Rouge;Cabernet Franc, Cabernet Sauvignon, Merlot;2018;6-8 ans;75cl;13%;16°C;Canard, Gibier, Grillades, Viande rouge
chateau-lafont-menaut-pessac-leognan-blanc-2017;1.5 kg;Bordeaux;Château Lafont Menaut;Pessac-Leognan;Blanc;Sauvignon Blanc, Sémillon;2018;3-5 ans;75cl;13%;12°C;Apéritif, Crustacés, Fruits de mer, Poissons
chateau-dutruch-grand-poujeaux-moulis-2016;1.5 kg;Bordeaux;Seléction de Bordeaux NR;Moulis en Médoc;Rouge;Cabernet Sauvignon, Merlot, Petit Verdot;2018;6-8 ans;75cl;13%;16°C;Canard, Gibier, Grillades, Viande rouge
domaine-peyre-rose-syrah-leone-2008;1.5 kg;Languedoc-Roussillon;Domaine Peyre Rose;;Rouge;Mourvèdre, Syrah;2012;15 ans et +;75cl;14,5%;16°C;Daube de boeuf, Viande rouge, Volaille
domaine-peyre-rose-oro-2002;1.5 kg;Languedoc-Roussillon;Domaine Peyre Rose;Coteaux du Languedoc;Blanc;Clairette, Roussanne, Terret Bourret, Ugni Blanc, Vermentino, Viognier;2007;15 ans et +;75cl;14,5%;13°C;Fromages, Fruits frais, Poissons, Volaille
domaine-peyre-rose-marlene-n3-2008;1.5 kg;Languedoc-Roussillon;Domaine Peyre Rose;;Rouge;Grenache, Syrah;2011;15 ans et +;75cl;14,5%;16°C;Daube de boeuf, Fromages, Viande rouge, Volaille
david-duband-charmes-chambertin-grand-cru-2014;1.5 kg;Bourgogne;David Duband;Charmes-Chambertin Grand Cru;Rouge;Pinot Noir;2014;15 ans et +;75cl;13,5%;15°C;Andouillettes, Escargots de Bourgogne, Lapin, Mignon de Veau, Viande rouge, Volaille
domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2014;1.5 kg;Bourgogne;Domaine des Comtes Lafon;Volnay 1er Cru;Rouge;Pinot Noir;2014;10-12 ans;75cl;13,5%;15°C;Côtes de Veau, Lapin, Viande rouge, Volaille
domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2013;1.5 kg;Bourgogne;Domaine des Comtes Lafon;Volnay 1er Cru;Rouge;Pinot Noir;2013;10-12 ans;75cl;;15°C;Côtes de Veau, Lapin, Viande rouge, Volaille
domaine-des-comtes-lafon-monthelie-1er-cru-les-duresses-2017;1.5 kg;Bourgogne;Domaine des Comtes Lafon;Monthélie 1er Cru;Rouge;Pinot Noir;2017;8-10 ans;75cl;;15°C;Filet de Chevreuil, Lapin, Viande rouge
champagne-agrapart-fils-les-7-crus-brut-blanc-de-blancs;1.5 kg;Champagne;Agrapart & Fils;Champagne;Blanc;Chardonnay;;3-5 ans;75cl;12%;10°C;Apéritif, Pâtisseries, Poissons, Viande Blanche
champagne-agrapart-fils-lavizoise-grand-cru-2012-extra-brut-blanc-de-blancs;1.5 kg;Champagne;Agrapart & Fils;Champagne;Blanc;Chardonnay;2015;5-10 ans;75cl;12%;10°C;Apéritif, Crustacés, Pâtisseries, Poissons, Viande Blanche
champagne-agrapart-fils-mineral-extra-brut-blanc-de-blancs-grand-cru-2012;1.5 kg;Champagne;Agrapart & Fils;Champagne;Blanc;Chardonnay;2015;5-10 ans;75cl;12%;10°C;Apéritif, Crustacés, Pâtisseries, Poissons, Viande Blanche
champagne-agrapart-fils-terroirs-brut-blanc-de-blancs-grand-cru;1.5 kg;Champagne;Agrapart & Fils;Champagne;Blanc;Chardonnay;;3-5 ans;75cl;12%;10°C;Apéritif, Crustacés, Pâtisseries, Poissons, Viande Blanche
champagne-petit-lebrun-fils-blanc-de-blancs-grand-cru;1.5 kg;Champagne;Petit Lebrun & Fils;Champagne;;Chardonnay;;3-5 ans;75cl;12,50%;9°C;Apéritif, Crustacés, Poissons, Viande Blanche, Volaille
domaine-de-montgilet-anjou-rouge-2016-2;1.5 kg;Vallée de la Loire;Montgilet;Anjou;Rouge;Cabernet Franc, Cabernet Sauvignon;2017;3-5 ans;75cl;14%;12°C;Charcuterie, Fromages légers, Viande rouge, Volaille
lucien-boillot-gevrey-chambertin-les-evocelles-2017;1.5 kg;Bourgogne;Lucien Boillot;Gevrey-Chambertin;Rouge;Pinot Noir;2017;15 ans et +;75cl;13,5%;15°C;Lapin, Tourte, Viande rouge
lucien-boillot-gevrey-chambertin-2017;1.5 kg;Bourgogne;Lucien Boillot;Gevrey-Chambertin;Rouge;Pinot Noir;2019;10 ans et +;75cl;13,5%;15°C;Lapin, Viande rouge, Volaille
lucien-boillot-pommard-1er-cru-les-croix-noires-2017;1.5 kg;Bourgogne;Lucien Boillot;Pommard 1er Cru;Rouge;Pinot Noir;2018;10-15 ans;75cl;13,5%;15°C;Gibier, Terrines, Viande rouge
david-beaupere-julienas-2018;1.5 kg;Beaujolais;David-Beaupère;Juliénas;Rouge;Gamay;2020;3-5 ans;75cl;13,5%;15°C;Charcuterie, Fromages, Viande Blanche, Viande rouge, Volaille
argentine-mendoza-alamos-torrontes-2017;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Catena Zapata;Mendoza;Blanc;Torrontes;2019;3-5 ans;75cl;13%;11°C;Crustacés, Fromages, Poisson grillé, Viande Blanche, Volaille
nouvelle-zelande-marlborough-momo-sauvignon-blanc-2018;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Michael Seresin;Marlborough;Blanc;Sauvignon Blanc;2018;3-5 ans;75cl;13%;11°C;Fromages, Poisson grillé, Viande Blanche, Volaille
nouvelle-zelande-marlborough-momo-pinot-noir-2016;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Michael Seresin;Marlborough;Rouge;Pinot Noir;2016;4-7 ans;75cl;13%;15°C;Fromages, Viande Blanche, Viande rouge, Volaille
nouvelle-zelande-marlborough-kim-crawford-sauvignon-blanc-2015;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Kim Crawford;Marlborough;Blanc;Sauvignon Blanc;2015;3-5 ans;75cl;13%;11°C;Fromages, Poisson grillé, Sushis, Viande Blanche
australie-maverick-trial-hill-riesling-2010;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Maverick;;Blanc;Riesling;2010;8-10 ans;75cl;14%;11°C;Apéritif, Crustacés, Fruits de mer, Poisson grillé, Viande Blanche
australie-harkham-wines-old-vines-2011;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Harkham Wines;;Rouge;Syrah;2011;4-7 ans;75cl;14%;15°C;Agneau, Gibier, Grillades
chili-valdivieso-merlot-2017;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Valdivieso;;Rouge;Merlot;2017;3-5 ans;75cl;12,50%;15°C;Charcuterie, Tapas, Viande Blanche, Viande rouge
chili-errazuriz-cabernet-sauvignon-2015;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Errazuriz;;Rouge;Cabernet Sauvignon;2017;3-5 ans;75cl;13,5%;15°C;Grillades, Viande rouge
chili-de-martino-gallardia-cinsault-2017;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, De Martino;;Rouge;Cinsault;2017;3-5 ans;75cl;13%;15°C;Grillades, Légumes du Soleil, Viande rouge, Volaille
chili-de-martino-viejas-tinajas-cinsault-2013;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, De Martino;;Rouge;Cinsault;2013;6-8 ans;75cl;13%;15°C;Grillades, Légumes du Soleil, Viande rouge, Volaille
chili-montsecano-ostertag-pinot-noir-2013;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Montsecano;;Rouge;Pinot Noir;2013;6-8 ans;75cl;13,5%;15°C;Quasi de veau, Tartare de Boeuf, Volaille
la-preceptorie-maury-sec-rouge-copain-comme-cochon-2018;1.5 kg;Languedoc-Roussillon;La Preceptorie;Maury Sec;Rouge;Grenache;2020;3-5 ans;75cl;14,5%;15°C;Charcuterie, Grillades, Viande rouge
la-rectorie-banyuls-leon-parce-2016;1.5 kg;Languedoc-Roussillon;Rectorie;Banyuls;Rouge;Carignan, Grenache;2019;15 ans et +;50cl;16,5%;15°C;Chocolat, Foie gras mi-cuit, Tartes aux fruits
la-preceptorie-maury-aurelie-2017;1.5 kg;Languedoc-Roussillon;La Preceptorie;Maury;Rouge;Grenache;2020;15 ans et +;75cl;17%;16°C;Chocolat, Fromage bleu, Tartes aux fruits
la-preceptorie-maury-blanc-2015;1.5 kg;Languedoc-Roussillon;La Preceptorie;Maury;Blanc;Carignan Blanc, Grenache Gris, Macabeu;2015;15 ans et +;75cl;15,5%;15,5%;Fromages à pâte pressée, Tartes aux fruits
parce-freres-banyuls-rimage-2018;1.5 kg;Languedoc-Roussillon;Parcé Frères;Banyuls;Rouge;Grenache;2018;10 ans et +;75cl;16,5%;16°C;Chocolat, Tartes aux fruits
clos-du-mont-olivet-chateauneuf-du-pape-2007;1.5 kg;Rhône;Clos Du Mont-Olivet;Châteauneuf-du-Pape;Rouge;Cinsault, Grenache, Mourvèdre, Syrah;2007;15 ans et +;75cl;15%;16°C;Gibier, Viande rouge
domaine-saint-nicolas-fiefs-vendeens-rouge-grande-piece-2013;1.5 kg;Vallée de la Loire;Saint-Nicolas;Fiefs Vendéens;Rouge;Pinot Noir;2013;15 ans et +;75cl;13%;14°C;Charcuterie, Gibier, Viande rouge
pelle-menetou-salon-blanc-ratier-2018;1.5 kg;Vallée de la Loire;Henry Pellé;Menetou-Salon;Blanc;Sauvignon Blanc;2020;6-8 ans;75cl;;12°C;Boudin blanc aux morilles, Cabillaud rôti, Marinade d'anchois frais
domaine-bulliat-beaujolais-blanc-2019;1.5 kg;Beaujolais;Bulliat;Beaujolais Blanc;Blanc;Chardonnay;2020;3 ans;75cl;13%;11°C;Charcuterie, Poissons, Salade, Viande Blanche, Volaille
domaine-bulliat-chiroubles-2019;1.5 kg;Beaujolais;Bulliat;Chiroubles;Rouge;Gamay;2020;4-7 ans;75cl;13%;15°C;Charcuterie, Salade, Viande Blanche, Viande rouge, Volaille
domaine-bulliat-moulin-a-vent-2017;1.5 kg;Beaujolais;Bulliat;Moulin à Vent;Rouge;Gamay;2018;4-7 ans;75cl;13%;15°C;Charcuterie, Salade, Viande Blanche, Viande rouge, Volaille
david-beaupere-julienas-bottiere-2018;1.5 kg;Beaujolais;David-Beaupère;Juliénas;Rouge;Gamay;2018;6-8 ans;75cl;15%;15°C;Fromages, Viande Blanche, Viande rouge, Volaille
david-beaupere-julienas-vayolette-2017;1.5 kg;Beaujolais;David-Beaupère;Juliénas;Rouge;Gamay;2017;6-8 ans;75cl;14,5%;15°C;Fromages, Viande Blanche, Viande rouge, Volaille
decelle-villa-savigny-blanc-2018;1.5 kg;Bourgogne;Decelle-Villa;Savigny-Lès-Beaune;Blanc;Chardonnay;2018;3-5 ans;75cl;13%;12°C;Fromages, Poissons, Viande Blanche, Volaille
decelle-villa-meursault-2018;1.5 kg;Bourgogne;Decelle-Villa;Meursault;Blanc;Chardonnay;2018;10 ans et +;75cl;13,5%;12°C;Foie gras, Poissons, Viande Blanche, Volaille
decelle-villa-nuits-st-georges-rouge-2016;1.5 kg;Bourgogne;Decelle-Villa;Nuits-Saint-Georges;Rouge;Pinot Noir;2016;10 ans et +;75cl;14%;15°C;Veau, Viande Blanche, Viande rouge
decelle-villa-beaune-rouge-2015;1.5 kg;Bourgogne;Decelle-Villa;Nuits-Saint-Georges;Rouge;Pinot Noir;2015;4-7 ans;75cl;13%;15°C;Carpaccios, Filet de boeuf, Fromages, Veau
marc-colin-et-fils-santenay-rouge-2017;1.5 kg;Bourgogne;Marc Colin;Santenay;Rouge;Pinot Noir;2018;4-7 ans;75cl;13%;15°C;Entrecôte, Terrine de Lapin, Viande Blanche, Volaille
chateau-de-la-selve-igp-coteaux-de-lardeche-st-regis-blanc-2019;1.5 kg;Rhône;Château de la Selve;Côteaux de l'Ardèche;Blanc;Viognier;2021;3-5 ans;75cl;12%;10°C;Apéritif, Crustacés, Fromage de chèvre, Poissons
chateau-de-la-selve-coteaux-de-lardeche-rouge-serre-berty-2014;1.5 kg;Rhône;Château de la Selve;Côteaux de l'Ardèche;Rouge;Cinsault, Grenache, Merlot;2015;10 ans et +;75cl;13,5%;16°C;Gibiers à plumes, Viande rouge
chambeyron-cotes-du-rhone-2017;1.5 kg;Rhône;Domaine Chambeyron;Côtes-du-Rhône;Rouge;Syrah;2020;3-5 ans;75cl;15%;16°C;Gibier, Gibiers à plumes, Viande rouge, Volaille
domaine-chambeyron-cote-rotie-chavarine-2017;1.5 kg;Rhône;Domaine Chambeyron;Côte Rôtie;Rouge;Syrah;2019;5-10 ans;75cl;13%;16°C;Gibier, Gibiers à plumes, Viande rouge, Volaille
domaine-chambeyron-cote-rotie-angeline-2017;1.5 kg;Rhône;Domaine Chambeyron;Côte Rôtie;Rouge;Syrah;2019;10-15 ans;75cl;13,5%;16°C;Gibier, Gibiers à plumes, Viande rouge, Volaille
domaine-chambeyron-cote-rotie-lancement-2017;1.5 kg;Rhône;Domaine Chambeyron;Côte Rôtie;Rouge;Syrah;2018;10-15 ans;75cl;13%;16°C;Gibier, Gibiers à plumes, Viande rouge, Volaille
domaine-chambeyron-condrieu-vernon-2018;1.5 kg;Rhône;Domaine Chambeyron;Condrieu;Blanc;Viognier;2020;4-7 ans;75cl;15%;16°C;Coquilles Saint Jacques, Cuisine Exotique, Fromages, Poisson en sauce, Risotto
marc-colin-et-fils-chassagne-montrachet-blanc-les-vide-bourses-1er-cru-2016;1.5 kg;Bourgogne;Marc Colin;Chassagne-Montrachet 1er Cru;Blanc;Chardonnay;2019;5-10 ans;75cl;13%;12°C;Bouchées à la Reine, Ris de veau, Saint-Jacques rôties, Volaille
marc-colin-et-fils-chassagne-montrachet-blanc-les-caillerets-1er-cru-2016;1.5 kg;Bourgogne;Marc Colin;Chassagne-Montrachet 1er Cru;Blanc;Chardonnay;2019;8-10 ans;75cl;13%;12°C;Bouchées à la Reine, Ris de veau, Saint-Jacques rôties, Volaille
thierry-germain-saumur-champigny-domaine-2018;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur-Champigny;Rouge;Cabernet Franc;2020;3-5 ans;75cl;12,50%;15°C;Charcuterie, Rôti de Porc
thierry-germain-saumur-champigny-terres-chaudes-2017;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur-Champigny;Rouge;Cabernet Franc;2019;6-8 ans;75cl;13%;15°C;Chevreuil aux pruneaux, Parmentier d'agneau
thierry-germain-saumur-champigny-outre-terre-2017;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur-Champigny;Rouge;Cabernet Franc;2017;10-15 ans;75cl;13%;15°C;Boudin aux pommes, Gibier, Queue de boeuf à la cuillière, Tartare de Boeuf, Viande rouge
thierry-germain-saumur-champigny-franc-de-pied-2017;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur-Champigny;Rouge;Cabernet Franc;2017;5-10 ans;75cl;13%;15°C;Gibier, Tartare de Boeuf, Viande rouge
thierry-germain-saumur-blanc-clos-romans-2016;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur Blanc;Blanc;Chenin;2016;5-7 ans;75cl;12,50%;12°C;Risotto saumon, Salade de chèvre chaud, Saumon au beurre blanc
thierry-germain-saumur-champigny-clos-echelier-2017;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur-Champigny;Rouge;Cabernet Franc;2017;8-10 ans;75cl;13%;15°C;Chevreuil aux pruneaux, Gibier, Gibiers à plumes, Parmentier d'agneau, Tartare de Boeuf
tempier-bandol-migoua-2017;1.5 kg;Provence;Tempier;Bandol;Rouge;Cinsault, Mourvèdre;2019;15 ans et +;75cl;14,5%;17°C;Agneau, Gibier, Viande rouge
tempier-bandol-tourtine-2017;1.5 kg;Provence;Tempier;Bandol;Rouge;Mourvèdre;2019;15 ans et +;75cl;15%;17°C;Agneau, Gibier, Viande rouge
tempier-bandol-cabassaou-2017;1.5 kg;Provence;Tempier;Bandol;Rouge;Mourvèdre;2019;15 ans et +;75cl;14,5%;17°C;Agneau, Gibier, Viande rouge
le-pas-de-lescalette-terrasses-du-larzac-le-grand-pas-2018;1.5 kg;Languedoc-Roussillon;Le Pas de l'Escalette;Terrasses du Larzac;Rouge;Carignan, Cinsault, Grenache;2019;5-10 ans;75cl;13,5%;16°C;Fricassé aux cèpes, Tajine, Viande rouge
domaine-huet-vouvray-le-clos-du-bourg-demi-sec-2017;1.5 kg;Vallée de la Loire;Huet;Vouvray;Blanc;Chenin;2019;8-10 ans;75cl;13%;11°C;Cuisine Exotique, Desserts, Foie gras, Sucré-salé
domaine-huet-vouvray-le-mont-moelleux-premiere-trie-2008;1.5 kg;Vallée de la Loire;Huet;Vouvray;Blanc;Chenin;2008;15 ans et +;75cl;12,50%;11°C;Cuisine Exotique, Desserts, Foie gras, Sucré-salé
weinbach-gewurztraminer-theo-2018;1.5 kg;Alsace;Domaine Weinbach;Alsace Gewurztraminer;Blanc;Gewurztraminer;2018;8-10 ans;75cl;14%;12°C;Cuisine Exotique, Foie gras poêlé, Munster, Pastilla
domaine-weinbach-riesling-colette-2018;1.5 kg;Alsace;Domaine Weinbach;Alsace Riesling;Blanc;Riesling;2019;10-15 ans;75cl;13,5%;12°C;Fruits de mer, Poissons, Viande Blanche, Volaille
domaine-weinbach-pinot-blanc-2017;1.5 kg;Alsace;Domaine Weinbach;Alsace Pinot Blanc;Blanc;Pinot Blanc;2020;4-7 ans;75cl;13%;12°C;Fromages, Poissons, Quiches, Tarte à l'oignon
domaine-weinbach-riesling-schlossberg-catherine-2018;1.5 kg;Alsace;Domaine Weinbach;Alsace Grand Cru;Blanc;Riesling;2020;15 ans et +;75cl;13,5%;12°C;Homard, Poissons, Viande Blanche, Volaille
domaine-weinbach-gewurztraminer-gc-furstentum-sgn-2010;1.5 kg;Alsace;Domaine Weinbach;Alsace Grand Cru;Blanc;Gewurztraminer;2010;15 ans et +;37,5cl;11%;10°C;Cuisine Exotique, Foie gras poêlé, Munster, Pastilla
albert-boxler-chasselas-2016;1.5 kg;Alsace;Albert Boxler;Alsace;Blanc;Chasselas;2019;3-5 ans;75cl;12%;12°C;Poissons, Viande Blanche, Volaille
albert-boxler-cremant-2014;1.5 kg;Alsace;Albert Boxler;Crémant d'Alsace;Blanc;Pinot Auxerrois, Pinot Blanc, Pinot Noir;2018;3-5 ans;75cl;12,50%;10°C;Apéritif, Desserts, Poissons
albert-boxler-pinot-gris-sommerberg-w-2016;1.5 kg;Alsace;Albert Boxler;Alsace Grand Cru;Blanc;Pinot Gris;2016;15 ans et +;75cl;14,5%;12°C;Choucroute, Saumon Grillé, Volaille
albert-boxler-pinot-noir-s-2016;1.5 kg;Alsace;Albert Boxler;Alsace Pinot Noir;Rouge;Pinot Noir;2019;8-10 ans;75cl;13%;15°C;Gibiers à plumes, Viande Blanche, Viande rouge
albert-boxler-pinot-gris-reserve-2016;1.5 kg;Alsace;Albert Boxler;Alsace Grand Cru;Blanc;Pinot Gris;2016;15 ans et +;75cl;14,5%;12°C;Choucroute, Saumon Grillé, Volaille
albert-boxler-riesling-grand-cru-sommerberg-d-2018;1.5 kg;Alsace;Albert Boxler;Alsace Grand Cru;Blanc;Riesling;2019;15 ans et +;75cl;13,5%;12°C;Choucroute, Saumon, Volaille
albert-boxler-riesling-grand-cru-sommerberg-e-2018;1.5 kg;Alsace;Albert Boxler;Alsace Grand Cru;Blanc;Riesling;2019;15 ans et +;75cl;13%;12°C;Choucroute, Saumon, Volaille
pares-balta-penedes-hisenda-miret-2013;1.5 kg;Espagne;Parès Baltà;Penedès;Rouge;Garnatxa;2013;5-10 ans;75cl;14,5%;16°C;Grillades, Paella, Viande rouge, Volaille
pares-balta-cava-brut-nature;1.5 kg;Espagne;Parès Baltà;Cava;Blanc;Macabeu, Parellada, Xarel.io;;3 ans;75cl;12,50%;8°C;Apéritif, Fruits de mer, Poisson grillé
philippe-nusswitz-duche-uzes-orenia-blanc-reserve-2018;1.5 kg;Languedoc-Roussillon;Les Vins de Philippe Nusswitz;Duché d'Uzès;Blanc;Marsanne, Roussanne, Viognier;2019;3-5 ans;75cl;13,5%;12°C;Apéritif, Poisson grillé, Viande Blanche, Volaille
philippe-nusswitz-duche-uzes-orenia-rouge-reserve-2016;1.5 kg;Languedoc-Roussillon;Les Vins de Philippe Nusswitz;Duché d'Uzès;Rouge;Grenache, Syrah;2017;3-5 ans;75cl;13,5%;15°C;Canard, Grillades, Viande rouge
philippe-nusswitz-igp-cevennes-opale-rose-2019;1.5 kg;Languedoc-Roussillon;Les Vins de Philippe Nusswitz;Cévènnes;Rosé;Grenache;2021;2 ans;75cl;12,50%;10°C;Apéritif, Grillades, Rouget grillé, Salade
planeta-sicilia-etna-bianco-2018;1.5 kg;Italie;Planeta;Sicilia;Blanc;Carricante;2018;3-5 ans;75cl;13,5%;12°C;Apéritif, Fromages, Fruits de mer, Poissons, Risotto
planeta-sicilia-santa-cecilia-2016;1.5 kg;Italie;Planeta;Noto;Rouge;Nero d'Avola;2017;8-10 ans;75cl;14%;16°C;Grillades, Viande Blanche, Viande rouge
domaine-de-lecu-muscadet-taurus-2012;1.5 kg;Vallée de la Loire;Domaine de l'Ecu;Muscadet;Blanc;Melon de Bourgogne;2018;5-10 ans;75cl;12%;11°C;Crustacés, Fromage de chèvre, Huîtres, Poisson grillé
domaine-huet-vouvray-petillant-2014;1.5 kg;Vallée de la Loire;Huet;Vouvray;Blanc;Chenin;2014;6-8 ans;75cl;12%;9°C;Apéritif, Crustacés, Desserts, Poisson cru
domaine-terres-d-ocre-saint-pourcain-blanc-instant-t-2018;1.5 kg;Vallée de la Loire;Terres d'Ocre;Saint-Pourçain;Blanc;Chardonnay, Tressalier;2020;3-5 ans;75cl;12%;12°C;Asperges, Fromages Frais, Poissons
domaine-des-terres-docre-saint-pourcain-rouge-instant-t-2015;1.5 kg;Vallée de la Loire;Terres d'Ocre;Saint-Pourçain;Rouge;Gamay, Pinot Noir;2020;3-5 ans;75cl;12,50%;14°C;Charcuterie, Fromages, Viande Blanche, Volaille
alliet-chinon-rouge-noire-2016;1.5 kg;Vallée de la Loire;Philippe Alliet;Chinon;Rouge;Cabernet Franc;2016;10 ans et +;75cl;13,5%;16°C;Canard rôti, Lièvre, Tournedos grillé
francois-baur-gewurztraminer-herrenweg-de-turckheim-2016;1.5 kg;Alsace;François Baur;Alsace Gewurztraminer;Blanc;Gewurztraminer;2019;4-7 ans;75cl;13%;12°C;Cuisine Asiatique, Desserts, Foie gras, Munster
domaine-de-lhortus-herault-loup-bergerie-2018;1.5 kg;Languedoc-Roussillon;Domaine de l'Hortus;Pays d'Hérault;Rouge;Cinsault, Grenache, Syrah;2020;3 ans;75cl;12,50%;15°C;Apéritif, Charcuterie, Grillades
triennes-igp-mediterranee-sainte-fleur-2018;1.5 kg;Provence;Triennes;Méditerranée;Blanc;Viognier;2019;3-5 ans;75cl;13%;12°C;Apéritif, Asperges, Viande Blanche, Volaille
triennes-igp-mediterranee-rouge-aureliens-2016;1.5 kg;Provence;Triennes;Méditerranée;Rouge;Cabernet Sauvignon, Syrah;2018;4-7 ans;75cl;14%;16°C;Gibier, Grillades, Viande rouge
triennes-igp-mediterranee-rouge-saint-auguste-2016;1.5 kg;Provence;Triennes;Méditerranée;Rouge;Cabernet Sauvignon, Merlot, Syrah;2018;5-10 ans;75cl;14%;16°C;Gibier, Grillades, Viande rouge
triennes-igp-mediterranee-rouge-merlot-2016;1.5 kg;Provence;Triennes;Méditerranée;Rouge;Merlot;2019;3-5 ans;75cl;13%;14°C;Gibier, Grillades, Viande rouge
